Crop,CropYear,Season,State,Area,Production,AnnualRainfall,Fertilizer,Pesticide,Yield
Arecanut,2019,Kharif     ,Andhra Pradesh,1096,10418,899.2,188248.96,405.52,7.253333333
Arhar/Tur,2019,Kharif     ,Andhra Pradesh,237647,114451,899.2,40818248.72,87929.39,0.44
Arhar/Tur,2019,Rabi       ,Andhra Pradesh,5940,3747,899.2,1020254.4,2197.8,0.43
Bajra,2019,Kharif     ,Andhra Pradesh,20484,47045,899.2,3518331.84,7579.08,2.004545455
Bajra,2019,Rabi       ,Andhra Pradesh,4592,11322,899.2,788721.92,1699.04,2.48
Banana,2019,Whole Year ,Andhra Pradesh,97695,5861700,899.2,16780093.2,36147.15,60
Black pepper,2019,Whole Year ,Andhra Pradesh,17645,17645,899.2,3030705.2,6528.65,1
Cashewnut,2019,Kharif     ,Andhra Pradesh,115785,115785,899.2,19887231.6,42840.45,1
Castor seed,2019,Kharif     ,Andhra Pradesh,36827,25270,899.2,6325405.52,13625.99,0.7625
Castor seed,2019,Rabi       ,Andhra Pradesh,1056,637,899.2,181378.56,390.72,0.684
Coconut ,2019,Whole Year ,Andhra Pradesh,104027,1912224000,899.2,17867677.52,38489.99,16935.05846
Coriander,2019,Rabi       ,Andhra Pradesh,1119,553,899.2,192199.44,414.03,0.50375
Cotton(lint),2019,Kharif     ,Andhra Pradesh,653953,424486,899.2,112322967.3,241962.61,0.543846154
Cotton(lint),2019,Rabi       ,Andhra Pradesh,3474,11066,899.2,596694.24,1285.38,3.305
Cowpea(Lobia),2019,Kharif     ,Andhra Pradesh,5816,2612,899.2,998956.16,2151.92,0.503333333
Cowpea(Lobia),2019,Rabi       ,Andhra Pradesh,6792,3532,899.2,1166593.92,2513.04,0.630909091
Dry chillies,2019,Kharif     ,Andhra Pradesh,136183,725388,899.2,23390792.08,50387.71,4.526666667
Dry chillies,2019,Rabi       ,Andhra Pradesh,16899,79638,899.2,2902572.24,6252.63,4.034615385
Ginger,2019,Kharif     ,Andhra Pradesh,294,633,899.2,50497.44,108.78,1.922
Gram,2019,Rabi       ,Andhra Pradesh,458579,558745,899.2,78765529.04,169674.23,1.443636364
Groundnut,2019,Kharif     ,Andhra Pradesh,567875,621906,899.2,97538210,210113.75,2.255384615
Groundnut,2019,Rabi       ,Andhra Pradesh,93389,227739,899.2,16040494.64,34553.93,2.812307692
Guar seed,2019,Kharif     ,Andhra Pradesh,1,0,899.2,171.76,0.37,0
Guar seed,2019,Rabi       ,Andhra Pradesh,6,0,899.2,1030.56,2.22,0
Horse-gram,2019,Kharif     ,Andhra Pradesh,83567,39442,899.2,14353467.92,30919.79,0.251666667
Horse-gram,2019,Rabi       ,Andhra Pradesh,29995,16670,899.2,5151941.2,11098.15,0.606923077
Jowar,2019,Kharif     ,Andhra Pradesh,36981,38880,899.2,6351856.56,13682.97,1.149
Jowar,2019,Rabi       ,Andhra Pradesh,117962,350076,899.2,20261153.12,43645.94,2.358
Linseed,2019,Kharif     ,Andhra Pradesh,133,0,899.2,22844.08,49.21,0
Maize,2019,Kharif     ,Andhra Pradesh,95591,450932,899.2,16418710.16,35368.67,4.653076923
Maize,2019,Rabi       ,Andhra Pradesh,205100,1670288,899.2,35227976,75887,6.698461538
Mesta,2019,Kharif     ,Andhra Pradesh,1714,18265,899.2,294396.64,634.18,10.135
Moong(Green Gram),2019,Kharif     ,Andhra Pradesh,13444,5138,899.2,2309141.44,4974.28,0.625384615
Moong(Green Gram),2019,Rabi       ,Andhra Pradesh,93535,81072,899.2,16065571.6,34607.95,0.885384615
Niger seed,2019,Rabi       ,Andhra Pradesh,4256,1409,899.2,731010.56,1574.72,0.33
Oilseeds total,2019,Kharif     ,Andhra Pradesh,712037,2914652,899.2,122299475.1,263453.69,8.527692308
Oilseeds total,2019,Rabi       ,Andhra Pradesh,141100,250093,899.2,24235336,52207,1.720769231
Onion,2019,Kharif     ,Andhra Pradesh,23864,524198,899.2,4098880.64,8829.68,22.22444444
Onion,2019,Rabi       ,Andhra Pradesh,12250,256890,899.2,2104060,4532.5,21.7675
Other  Rabi pulses,2019,Rabi       ,Andhra Pradesh,10770,11296,899.2,1849855.2,3984.9,1.23
Other Kharif pulses,2019,Kharif     ,Andhra Pradesh,1715,850,899.2,294568.4,634.55,0.656666667
Potato,2019,Kharif     ,Andhra Pradesh,453,6648,899.2,77807.28,167.61,12.21
Potato,2019,Rabi       ,Andhra Pradesh,1050,15919,899.2,180348,388.5,13.155
Ragi,2019,Kharif     ,Andhra Pradesh,25660,31913,899.2,4407361.6,9494.2,1.315
Ragi,2019,Rabi       ,Andhra Pradesh,7893,12385,899.2,1355701.68,2920.41,1.588888889
Rapeseed &Mustard,2019,Rabi       ,Andhra Pradesh,1882,912,899.2,323252.32,696.34,0.375
Rice,2019,Kharif     ,Andhra Pradesh,1526425,5342033,899.2,262178758,564777.25,3.517692308
Rice,2019,Rabi       ,Andhra Pradesh,829557,3798058,899.2,142484710.3,306936.09,3.873076923
Safflower,2019,Rabi       ,Andhra Pradesh,710,348,899.2,121949.6,262.7,0.475
Sannhamp,2019,Kharif     ,Andhra Pradesh,3365,0,899.2,577972.4,1245.05,0
Sannhamp,2019,Rabi       ,Andhra Pradesh,1133,0,899.2,194604.08,419.21,0
Sesamum,2019,Kharif     ,Andhra Pradesh,6197,1316,899.2,1064396.72,2292.89,0.286
Sesamum,2019,Rabi       ,Andhra Pradesh,32989,12129,899.2,5666190.64,12205.93,0.333076923
Small millets,2019,Kharif     ,Andhra Pradesh,19344,18085,899.2,3322525.44,7157.28,0.758333333
Small millets,2019,Rabi       ,Andhra Pradesh,3966,3990,899.2,681200.16,1467.42,0.921428571
Soyabean,2019,Kharif     ,Andhra Pradesh,1354,2367,899.2,232563.04,500.98,1.13
Soyabean,2019,Rabi       ,Andhra Pradesh,24,42,899.2,4122.24,8.88,1.39
Sugarcane,2019,Kharif     ,Andhra Pradesh,85911,6714729,899.2,14756073.36,31787.07,83.44538462
Sunflower,2019,Kharif     ,Andhra Pradesh,1869,1306,899.2,321019.44,691.53,1.23
Sunflower,2019,Rabi       ,Andhra Pradesh,6794,6877,899.2,1166937.44,2513.78,0.967692308
Sweet potato,2019,Kharif     ,Andhra Pradesh,54,895,899.2,9275.04,19.98,18.038
Sweet potato,2019,Rabi       ,Andhra Pradesh,360,6271,899.2,61833.6,133.2,16.747
Tapioca,2019,Kharif     ,Andhra Pradesh,6986,84845,899.2,1199915.36,2584.82,13.61166667
Tapioca,2019,Rabi       ,Andhra Pradesh,54,512,899.2,9275.04,19.98,14.415
Tobacco,2019,Kharif     ,Andhra Pradesh,36504,375719,899.2,6269927.04,13506.48,8.732352941
Tobacco,2019,Rabi       ,Andhra Pradesh,78051,165535,899.2,13406039.76,28878.87,2.428181818
Urad,2019,Kharif     ,Andhra Pradesh,15242,14254,899.2,2617965.92,5639.54,0.834615385
Urad,2019,Rabi       ,Andhra Pradesh,287929,315055,899.2,49454685.04,106533.73,0.944615385
Wheat,2019,Rabi       ,Andhra Pradesh,37,11,899.2,6355.12,13.69,0.155
other oilseeds,2019,Kharif     ,Andhra Pradesh,97782,2262487,899.2,16795036.32,36179.34,16.12818182
Arecanut,2019,Kharif     ,Puducherry,52,78,1317,8931.52,19.24,1.5
Bajra,2019,Kharif     ,Puducherry,14,36,1317,2404.64,5.18,2.57
Bajra,2019,Rabi       ,Puducherry,1,3,1317,171.76,0.37,3
Bajra,2019,Summer     ,Puducherry,7,18,1317,1202.32,2.59,2.57
Banana,2019,Kharif     ,Puducherry,273,16637,1317,46890.48,101.01,32.76666667
Black pepper,2019,Kharif     ,Puducherry,11,15,1317,1889.36,4.07,1.36
Cashewnut,2019,Kharif     ,Puducherry,145,65,1317,24905.2,53.65,0.426666667
Coconut ,2019,Whole Year ,Puducherry,1857,18661000,1317,318958.32,687.09,9474.625
Cotton(lint),2019,Kharif     ,Puducherry,500,1248,1317,85880,185,2.745
Dry chillies,2019,Kharif     ,Puducherry,2,26,1317,343.52,0.74,13
Dry chillies,2019,Rabi       ,Puducherry,3,41,1317,515.28,1.11,13.67
Dry chillies,2019,Summer     ,Puducherry,2,26,1317,343.52,0.74,13
Groundnut,2019,Kharif     ,Puducherry,1,3,1317,171.76,0.37,3
Groundnut,2019,Rabi       ,Puducherry,231,693,1317,39676.56,85.47,3
Groundnut,2019,Summer     ,Puducherry,21,63,1317,3606.96,7.77,3
Moong(Green Gram),2019,Rabi       ,Puducherry,12,9,1317,2061.12,4.44,0.75
Moong(Green Gram),2019,Summer     ,Puducherry,629,156,1317,108037.04,232.73,0.606666667
Onion,2019,Kharif     ,Puducherry,2,10,1317,343.52,0.74,5
Onion,2019,Summer     ,Puducherry,1,5,1317,171.76,0.37,5
Other  Rabi pulses,2019,Rabi       ,Puducherry,53,42,1317,9103.28,19.61,0.79
Other Kharif pulses,2019,Kharif     ,Puducherry,5,4,1317,858.8,1.85,0.8
Other Summer Pulses,2019,Summer     ,Puducherry,21,17,1317,3606.96,7.77,0.81
Ragi,2019,Kharif     ,Puducherry,32,77,1317,5496.32,11.84,2.41
Ragi,2019,Rabi       ,Puducherry,4,10,1317,687.04,1.48,2.5
Ragi,2019,Summer     ,Puducherry,23,55,1317,3950.48,8.51,2.39
Rice,2019,Kharif     ,Puducherry,4323,15171,1317,742518.48,1599.51,3.216666667
Rice,2019,Rabi       ,Puducherry,9397,28114,1317,1614028.72,3476.89,3.883333333
Rice,2019,Summer     ,Puducherry,4518,16060,1317,776011.68,1671.66,3.55
Sesamum,2019,Kharif     ,Puducherry,2,2,1317,343.52,0.74,1
Sesamum,2019,Rabi       ,Puducherry,10,10,1317,1717.6,3.7,1
Sesamum,2019,Summer     ,Puducherry,203,152,1317,34867.28,75.11,0.57
Small millets,2019,Kharif     ,Puducherry,14,17,1317,2404.64,5.18,1.21
Sugarcane,2019,Kharif     ,Puducherry,1308,183120,1317,224662.08,483.96,140
Sweet potato,2019,Kharif     ,Puducherry,5,45,1317,858.8,1.85,9
Sweet potato,2019,Rabi       ,Puducherry,1,9,1317,171.76,0.37,9
Tapioca,2019,Kharif     ,Puducherry,170,4218,1317,29199.2,62.9,29.75
Tapioca,2019,Rabi       ,Puducherry,8,196,1317,1374.08,2.96,24.5
Turmeric,2019,Kharif     ,Puducherry,11,165,1317,1889.36,4.07,15
Urad,2019,Kharif     ,Puducherry,2,2,1317,343.52,0.74,1
Urad,2019,Rabi       ,Puducherry,146,146,1317,25076.96,54.02,1
Urad,2019,Summer     ,Puducherry,321,139,1317,55134.96,118.77,0.723333333
Arecanut,2019,Rabi       ,Assam,67223,52124,2084.7,11546222.48,24872.51,0.758181818
Arhar/Tur,2019,Kharif     ,Assam,5830,5040,2084.7,1001360.8,2157.1,0.865925926
Banana,2019,Whole Year ,Assam,49445,906683,2084.7,8492673.2,18294.65,18.07555556
Black pepper,2019,Whole Year ,Assam,3410,7664,2084.7,585701.6,1261.7,2.28962963
Castor seed,2019,Kharif     ,Assam,748,345,2084.7,128476.48,276.76,0.632272727
Coconut ,2019,Whole Year ,Assam,20800,148629000,2084.7,3572608,7696,7582.287813
Cotton(lint),2019,Kharif     ,Assam,789,417,2084.7,135518.64,291.93,0.674444444
Dry chillies,2019,Whole Year ,Assam,19835,19413,2084.7,3406859.6,7338.95,0.918888889
Ginger,2019,Whole Year ,Assam,17786,167803,2084.7,3054923.36,6580.82,9.395185185
Gram,2019,Rabi       ,Assam,2176,1523,2084.7,373749.76,805.12,0.648
Jute,2019,Kharif     ,Assam,64247,791512,2084.7,11035064.72,23771.39,11.66851852
Linseed,2019,Rabi       ,Assam,4885,3039,2084.7,839047.6,1807.45,0.588695652
Maize,2019,Kharif     ,Assam,36636,128036,2084.7,6292599.36,13555.32,3.155555556
Masoor,2019,Rabi       ,Assam,24122,18434,2084.7,4143194.72,8925.14,0.732962963
Mesta,2019,Kharif     ,Assam,3221,20010,2084.7,553238.96,1191.77,6.1756
Moong(Green Gram),2019,Rabi       ,Assam,10837,8163,2084.7,1861363.12,4009.69,0.705185185
Niger seed,2019,Kharif     ,Assam,5715,3195,2084.7,981608.4,2114.55,0.545416667
Onion,2019,Whole Year ,Assam,8155,88892,2084.7,1400702.8,3017.35,8.022962963
Other  Rabi pulses,2019,Rabi       ,Assam,15006,12467,2084.7,2577430.56,5552.22,0.695185185
Peas & beans (Pulses),2019,Rabi       ,Assam,27891,26081,2084.7,4790558.16,10319.67,1.035185185
Potato,2019,Whole Year ,Assam,104750,756222,2084.7,17991860,38757.5,7.303703704
Rapeseed &Mustard,2019,Rabi       ,Assam,287447,177226,2084.7,49371896.72,106355.39,0.583703704
Rice,2019,Autumn     ,Assam,127223,193215,2084.7,21851822.48,47072.51,1.464814815
Rice,2019,Summer     ,Assam,395518,1025571,2084.7,67934171.68,146341.66,2.492307692
Rice,2019,Winter     ,Assam,1878208,3996018,2084.7,322601006.1,694936.96,2.137037037
Sesamum,2019,Kharif     ,Assam,12027,8534,2084.7,2065757.52,4449.99,0.661481481
Small millets,2019,Kharif     ,Assam,5212,3226,2084.7,895213.12,1928.44,0.5792
Sugarcane,2019,Whole Year ,Assam,29703,1218118,2084.7,5101787.28,10990.11,38.92111111
Sweet potato,2019,Whole Year ,Assam,4926,25640,2084.7,846089.76,1822.62,5.578518519
Tapioca,2019,Whole Year ,Assam,3289,31794,2084.7,564918.64,1216.93,8.9104
Tobacco,2019,Whole Year ,Assam,114,62,2084.7,19580.64,42.18,0.590909091
Turmeric,2019,Whole Year ,Assam,16359,20885,2084.7,2809821.84,6052.83,1.284074074
Urad,2019,Rabi       ,Assam,58100,34757,2084.7,9979256,21497,0.618888889
Wheat,2019,Rabi       ,Assam,11336,14430,2084.7,1947071.36,4194.32,1.272083333
Arecanut,2019,Rabi       ,Meghalaya,18231,24032,3844.4,3131356.56,6745.47,1.296363636
Arhar/Tur,2019,Kharif     ,Meghalaya,1186,1540,3844.4,203707.36,438.82,1.122
Banana,2019,Kharif     ,Meghalaya,7284,94870,3844.4,1251099.84,2695.08,10.73090909
Black pepper,2019,Rabi       ,Meghalaya,1046,791,3844.4,179660.96,387.02,0.764545455
Cashewnut,2019,Rabi       ,Meghalaya,10471,14846,3844.4,1798498.96,3874.27,1.402
Castor seed,2019,Rabi       ,Meghalaya,72,65,3844.4,12366.72,26.64,1.004
Coriander,2019,Whole Year ,Meghalaya,490,1925,3844.4,84162.4,181.3,3.742
Cotton(lint),2019,Kharif     ,Meghalaya,7245,8697,3844.4,1244401.2,2680.65,1.158
Cowpea(Lobia),2019,Rabi       ,Meghalaya,1681,2549,3844.4,288728.56,621.97,1.633636364
Dry chillies,2019,Whole Year ,Meghalaya,2334,2367,3844.4,400887.84,863.58,1.224545455
Ginger,2019,Kharif     ,Meghalaya,9963,66379,3844.4,1711244.88,3686.31,9.668181818
Gram,2019,Rabi       ,Meghalaya,1869,2004,3844.4,321019.44,691.53,1.082
Jute,2019,Kharif     ,Meghalaya,6680,68562,3844.4,1147356.8,2471.6,9.946
Linseed,2019,Rabi       ,Meghalaya,95,57,3844.4,16317.2,35.15,0.61
Maize,2019,Kharif     ,Meghalaya,18174,41760,3844.4,3121566.24,6724.38,2.254545455
Masoor,2019,Rabi       ,Meghalaya,1260,1400,3844.4,216417.6,466.2,1.322857143
Mesta,2019,Kharif     ,Meghalaya,4480,26455,3844.4,769484.8,1657.6,6.312
Onion,2019,Rabi       ,Meghalaya,561,5037,3844.4,96357.36,207.57,8.431
Peas & beans (Pulses),2019,Rabi       ,Meghalaya,2340,4541,3844.4,401918.4,865.8,1.804545455
Potato,2019,Summer     ,Meghalaya,12577,143122,3844.4,2160225.52,4653.49,8.257272727
Potato,2019,Winter     ,Meghalaya,6366,44226,3844.4,1093424.16,2355.42,6.527272727
Rapeseed &Mustard,2019,Rabi       ,Meghalaya,9879,9242,3844.4,1696817.04,3655.23,0.890909091
Rice,2019,Autumn     ,Meghalaya,33480,78074,3844.4,5750524.8,12387.6,2.510909091
Rice,2019,Rabi       ,Meghalaya,13628,63081,3844.4,2340745.28,5042.36,2.57
Rice,2019,Winter     ,Meghalaya,63889,162321,3844.4,10973574.64,23638.93,2.36
Sesamum,2019,Rabi       ,Meghalaya,2382,2222,3844.4,409132.32,881.34,1.04
Small millets,2019,Rabi       ,Meghalaya,2893,2723,3844.4,496901.68,1070.41,1.1
Soyabean,2019,Kharif     ,Meghalaya,1873,3570,3844.4,321706.48,693.01,2.148181818
Sugarcane,2019,Whole Year ,Meghalaya,128,384,3844.4,21985.28,47.36,2.675
Sweet potato,2019,Kharif     ,Meghalaya,4734,15842,3844.4,813111.84,1751.58,3.699090909
Tapioca,2019,Kharif     ,Meghalaya,5424,35658,3844.4,931626.24,2006.88,7.553636364
Tobacco,2019,Rabi       ,Meghalaya,803,798,3844.4,137923.28,297.11,1.056666667
Turmeric,2019,Whole Year ,Meghalaya,2980,18614,3844.4,511844.8,1102.6,5.923636364
Wheat,2019,Rabi       ,Meghalaya,464,898,3844.4,79696.64,171.68,1.638
Arecanut,2019,Whole Year ,Goa,1971,3704,4489.5,338538.96,729.27,1.965
Banana,2019,Whole Year ,Goa,2460,30898,4489.5,422529.6,910.2,13.095
Black pepper,2019,Whole Year ,Goa,843,315,4489.5,144793.68,311.91,0.37
Cashewnut,2019,Whole Year ,Goa,56476,28630,4489.5,9700317.76,20896.12,0.485
Coconut ,2019,Whole Year ,Goa,26542,167000000,4489.5,4558853.92,9820.54,6359.69
Groundnut,2019,Kharif     ,Goa,2,5,4489.5,343.52,0.74,2.5
Groundnut,2019,Rabi       ,Goa,168,426,4489.5,28855.68,62.16,2.54
Other  Rabi pulses,2019,Rabi       ,Goa,4397,3855,4489.5,755228.72,1626.89,0.88
Other Kharif pulses,2019,Kharif     ,Goa,1,0,4489.5,171.76,0.37,0
Rice,2019,Kharif     ,Goa,24411,60556,4489.5,4192833.36,9032.07,2.475
Rice,2019,Rabi       ,Goa,10287,29819,4489.5,1766895.12,3806.19,2.95
Sugarcane,2019,Whole Year ,Goa,811,53708,4489.5,139297.36,300.07,70.115
Sweet potato,2019,Whole Year ,Goa,66,164,4489.5,11336.16,24.42,2.53
other oilseeds,2019,Whole Year ,Goa,684,1865,4489.5,117483.84,253.08,2.715
Arecanut,2019,Whole Year ,Karnataka,500522,5409381,1422.3,85969658.72,185193.14,10.7724
Arhar/Tur,2019,Kharif     ,Karnataka,1626389,1125991,1422.3,279348574.6,601763.93,0.657586207
Bajra,2019,Kharif     ,Karnataka,328048,355678,1422.3,56345524.48,121377.76,1.106666667
Bajra,2019,Summer     ,Karnataka,10904,11378,1422.3,1872871.04,4034.48,1.038518519
Black pepper,2019,Whole Year ,Karnataka,160774,63026,1422.3,27614542.24,59486.38,0.394705882
Cardamom,2019,Whole Year ,Karnataka,1939,301,1422.3,333042.64,717.43,0.105238095
Cashewnut,2019,Whole Year ,Karnataka,45546,64596,1422.3,7822980.96,16852.02,1.41962963
Castor seed,2019,Kharif     ,Karnataka,4144,3818,1422.3,711773.44,1533.28,0.904545455
Coconut ,2019,Whole Year ,Karnataka,610324,5030774000,1422.3,104829250.2,225819.88,8344.984
Coriander,2019,Whole Year ,Karnataka,608,300,1422.3,104430.08,224.96,0.48
Cotton(lint),2019,Kharif     ,Karnataka,803067,2319158,1422.3,137934787.9,297134.79,2.51
Cotton(lint),2019,Rabi       ,Karnataka,14393,10392,1422.3,2472141.68,5325.41,0.721363636
Cowpea(Lobia),2019,Kharif     ,Karnataka,30586,8678,1422.3,5253451.36,11316.82,0.299333333
Cowpea(Lobia),2019,Rabi       ,Karnataka,11051,5396,1422.3,1898119.76,4088.87,0.458928571
Cowpea(Lobia),2019,Summer     ,Karnataka,4103,983,1422.3,704731.28,1518.11,0.197407407
Dry chillies,2019,Kharif     ,Karnataka,74078,129238,1422.3,12723637.28,27408.86,1.992352941
Garlic,2019,Whole Year ,Karnataka,1706,8741,1422.3,293022.56,631.22,5.177727273
Ginger,2019,Whole Year ,Karnataka,22388,234176,1422.3,3845362.88,8283.56,10.60275862
Gram,2019,Rabi       ,Karnataka,908637,674750,1422.3,156067491.1,336195.69,0.7125
Groundnut,2019,Kharif     ,Karnataka,413854,369876,1422.3,71083563.04,153125.98,0.949285714
Groundnut,2019,Rabi       ,Karnataka,2809,6504,1422.3,482473.84,1039.33,2.31
Groundnut,2019,Summer     ,Karnataka,113518,127045,1422.3,19497851.68,42001.66,1.157307692
Horse-gram,2019,Kharif     ,Karnataka,93699,71326,1422.3,16093740.24,34668.63,0.775185185
Horse-gram,2019,Rabi       ,Karnataka,76212,50531,1422.3,13090173.12,28198.44,0.6675
Jowar,2019,Kharif     ,Karnataka,178585,235257,1422.3,30673759.6,66076.45,1.383793103
Jowar,2019,Rabi       ,Karnataka,730334,801928,1422.3,125442167.8,270223.58,1.095517241
Jowar,2019,Summer     ,Karnataka,5069,8457,1422.3,870651.44,1875.53,1.702857143
Linseed,2019,Rabi       ,Karnataka,818,399,1422.3,140499.68,302.66,0.381
Maize,2019,Kharif     ,Karnataka,1355321,4228095,1422.3,232789935,501468.77,3.572068966
Maize,2019,Rabi       ,Karnataka,114070,394898,1422.3,19592663.2,42205.9,3.466785714
Maize,2019,Summer     ,Karnataka,31000,122718,1422.3,5324560,11470,3.905357143
Mesta,2019,Whole Year ,Karnataka,55,0,1422.3,9446.8,20.35,0
Moong(Green Gram),2019,Kharif     ,Karnataka,392336,138221,1422.3,67387631.36,145164.32,0.298461538
Moong(Green Gram),2019,Rabi       ,Karnataka,11109,2731,1422.3,1908081.84,4110.33,0.215416667
Moong(Green Gram),2019,Summer     ,Karnataka,310,51,1422.3,53245.6,114.7,0.088571429
Niger seed,2019,Kharif     ,Karnataka,999,245,1422.3,171588.24,369.63,0.207083333
Onion,2019,Kharif     ,Karnataka,155401,1255733,1422.3,26691675.76,57498.37,8.256153846
Onion,2019,Rabi       ,Karnataka,36940,515416,1422.3,6344814.4,13667.8,13.21884615
Onion,2019,Summer     ,Karnataka,10300,119070,1422.3,1769128,3811,11.37333333
Other  Rabi pulses,2019,Rabi       ,Karnataka,13219,12415,1422.3,2270495.44,4891.03,0.855
Other Kharif pulses,2019,Kharif     ,Karnataka,37740,30652,1422.3,6482222.4,13963.8,0.788333333
Potato,2019,Kharif     ,Karnataka,17797,124958,1422.3,3056812.72,6584.89,7.178214286
Potato,2019,Rabi       ,Karnataka,4477,69340,1422.3,768969.52,1656.49,15.27291667
Potato,2019,Summer     ,Karnataka,458,7162,1422.3,78666.08,169.46,15.88222222
Ragi,2019,Kharif     ,Karnataka,625797,1092419,1422.3,107486892.7,231544.89,1.675357143
Ragi,2019,Rabi       ,Karnataka,41861,59315,1422.3,7190045.36,15488.57,1.409259259
Ragi,2019,Summer     ,Karnataka,6055,10797,1422.3,1040006.8,2240.35,1.806666667
Rapeseed &Mustard,2019,Kharif     ,Karnataka,230,54,1422.3,39504.8,85.1,0.166842105
Rice,2019,Kharif     ,Karnataka,964087,3088937,1422.3,165591583.1,356712.19,2.924
Rice,2019,Rabi       ,Karnataka,11266,31038,1422.3,1935048.16,4168.42,2.881428571
Rice,2019,Summer     ,Karnataka,272701,827998,1422.3,46839123.76,100899.37,2.86862069
Safflower,2019,Rabi       ,Karnataka,26593,24556,1422.3,4567613.68,9839.41,0.8256
Sannhamp,2019,Whole Year ,Karnataka,2081,1238,1422.3,357432.56,769.97,0.644615385
Sesamum,2019,Kharif     ,Karnataka,30964,26306,1422.3,5318376.64,11456.68,0.818888889
Small millets,2019,Kharif     ,Karnataka,52381,38089,1422.3,8996960.56,19380.97,0.555357143
Soyabean,2019,Kharif     ,Karnataka,336850,378700,1422.3,57857356,124634.5,1.065555556
Sugarcane,2019,Whole Year ,Karnataka,428540,36034028,1422.3,73606030.4,158559.8,81.45551724
Sunflower,2019,Kharif     ,Karnataka,105942,80163,1422.3,18196597.92,39198.54,0.726
Sunflower,2019,Rabi       ,Karnataka,25163,18299,1422.3,4321996.88,9310.31,0.904210526
Sunflower,2019,Summer     ,Karnataka,4487,4869,1422.3,770687.12,1660.19,1.268181818
Sweet potato,2019,Whole Year ,Karnataka,5105,98495,1422.3,876834.8,1888.85,18.80518519
Tapioca,2019,Whole Year ,Karnataka,860,10921,1422.3,147713.6,318.2,12.70956522
Tobacco,2019,Whole Year ,Karnataka,95479,83000,1422.3,16399473.04,35327.23,0.883076923
Turmeric,2019,Whole Year ,Karnataka,20740,132668,1422.3,3562302.4,7673.8,6.133571429
Urad,2019,Kharif     ,Karnataka,68513,32210,1422.3,11767792.88,25349.81,0.384285714
Urad,2019,Rabi       ,Karnataka,2875,1341,1422.3,493810,1063.75,0.3375
Urad,2019,Summer     ,Karnataka,223,105,1422.3,38302.48,82.51,0.437272727
Wheat,2019,Rabi       ,Karnataka,158319,180114,1422.3,27192871.44,58578.03,1.08125
Arecanut,2019,Whole Year ,Kerala,96921,92755,3119.2,16647150.96,35860.77,0.674285714
Arhar/Tur,2019,Whole Year ,Kerala,313,522,3119.2,53760.88,115.81,1.335
Banana,2019,Whole Year ,Kerala,60678,548425,3119.2,10422053.28,22450.86,8.815
Black pepper,2019,Whole Year ,Kerala,83765,34545,3119.2,14387476.4,30993.05,0.327142857
Cardamom,2019,Whole Year ,Kerala,39697,10076,3119.2,6818356.72,14687.89,0.062857143
Cashewnut,2019,Whole Year ,Kerala,39898,19444,3119.2,6852880.48,14762.26,0.273571429
Coconut ,2019,Whole Year ,Kerala,760776,4814000000,3119.2,130670885.8,281487.12,5882.037143
Cotton(lint),2019,Whole Year ,Kerala,54,82,3119.2,9275.04,19.98,1.51
Garlic,2019,Whole Year ,Kerala,191,990,3119.2,32806.16,70.67,5.18
Ginger,2019,Whole Year ,Kerala,2819,11917,3119.2,484191.44,1043.03,3.65
Gram,2019,Whole Year ,Kerala,600,454,3119.2,103056,222,0.767142857
Groundnut,2019,Whole Year ,Kerala,117,147,3119.2,20095.92,43.29,1.26
Jowar,2019,Whole Year ,Kerala,285,235,3119.2,48951.6,105.45,0.82
Maize,2019,Whole Year ,Kerala,113,140,3119.2,19408.88,41.81,1.82
Other  Rabi pulses,2019,Rabi       ,Kerala,1256,1131,3119.2,215730.56,464.72,1.098888889
Other Kharif pulses,2019,Kharif     ,Kerala,91,76,3119.2,15630.16,33.67,2.4
Potato,2019,Whole Year ,Kerala,490,6569,3119.2,84162.4,181.3,13.41
Ragi,2019,Whole Year ,Kerala,213,261,3119.2,36584.88,78.81,1.36
Rice,2019,Autumn     ,Kerala,55895,145076,3119.2,9600525.2,20681.15,1.949230769
Rice,2019,Summer     ,Kerala,61006,212586,3119.2,10478390.56,22572.22,2.815714286
Rice,2019,Winter     ,Kerala,81279,247879,3119.2,13960481.04,30073.23,2.503571429
Sesamum,2019,Whole Year ,Kerala,207.94,129,3119.2,35715.7744,76.9378,0.558
Small millets,2019,Kharif     ,Kerala,30,22,3119.2,5152.8,11.1,0.73
Small millets,2019,Rabi       ,Kerala,27,21,3119.2,4637.52,9.99,0.78
Sugarcane,2019,Whole Year ,Kerala,950.04,120835,3119.2,163178.8704,351.5148,83.834
Sunflower,2019,Whole Year ,Kerala,1,1,3119.2,171.76,0.37,1
Sweet potato,2019,Whole Year ,Kerala,194,2782,3119.2,33321.44,71.78,13.1125
Tapioca,2019,Whole Year ,Kerala,62070,2592633,3119.2,10661143.2,22965.9,41.95142857
Tobacco,2019,Whole Year ,Kerala,8,14,3119.2,1374.08,2.96,1.8
Turmeric,2019,Whole Year ,Kerala,2277,6653,3119.2,391097.52,842.49,2.848571429
Wheat,2019,Whole Year ,Kerala,1,2,3119.2,171.76,0.37,2
Arecanut,2019,Whole Year ,Tamil Nadu,6843,13543,910.1,1175353.68,2531.91,2.17
